hid,doc_id,ops_inspection_regularity,ops_unlicensed_control_notes,ops_committee_activity_notes,remarks,inspection_freq,unlicensed_control_type,committee_supervision,extracted_year,extracted_patient_count
HID0001,NWPO-1878,improved attendance last 6 months,Reward scheme briefly used to arrest unregistered women; many diseased,,Avg daily patients ~34 vs beds 18–20; calls to restrict soldier license,monthly,police_action,,,34
HID0002,NWPO-1878,frequent examinations,Use of venereal picket; detection of unlicensed women; restrictions increased as year advanced,Committee noted small number registered vs large city,,,other,committee,,
HID0003,NWPO-1878,cantonment weekly; city fortnightly,native police arrested 49 unregistered; military police ineffective,sub-committee met as needed; irregularity criticized,Famine-related prostitution cited; soldier drunkenness noted as factor,weekly,police_action,subcommittee_regular,,
HID0004,NWPO-1878,returns regular,registration incomplete; need effective general & regimental police,sub-committee assembled regularly; many convictions for breaches,Evidence that 7/8 soldier cases from unlicensed women,,police_action,subcommittee_regular,,
HID0005,NWPO-1878,"bi-weekly; 12,480 exams",roads/city out of bounds at times; special police of men recently cured; strict oversight,sub-committee met monthly,Medical Officer Fairland praised; emphasis on suppressing illicit prostitution,weekly,police_action,subcommittee_regular,,
HID0006,NWPO-1878,very frequent (every second day for registered women),many unregistered coolie/ayah women; police arrests,sub-committee met regularly,Increase of disease linked to famine-era vagrancy; venereal picket deemed mostly punitive,daily,police_action,subcommittee_regular,,
HID0007,NWPO-1878,weekly; soldiers inspected on arrival within 24h,special police (men recently cured) to prevent village visits,sub-committee assembled regularly,Order regarding menstruating women detention rescinded then restored,weekly,police_action,subcommittee_regular,,
HID0008,NWPO-1878,,police registered many unlicensed; proposal to subsidize selected courtezans,committee agreed system at fault; asked Sanitary Commissioner to visit,Suggested punishment of diseased soldiers by stoppage of pay,,police_action,committee,,
HID0009,NWPO-1878,registered women examined 3x per month,vagrancy a cause; limited ability to arrest; one severe syphilis case arrested,sub-committee assembled regularly,Commissioner favored placing hospital within cantonments,monthly,police_action,subcommittee_regular,,
HID0010,NWPO-1878,weekly exams; committee met regularly,native police venal; European police patrolled wrong places; coolie women arrested near bazaar,committee & commissioner emphasize regimental authority,Recording practices corrected in Aug (leucorrhoea vs gonorrhoea; ulcer vs syphilis),weekly,police_action,committee,,
HID0011,NWPO-1878,weekly,,sub-committee assembled regularly,European garrison very small at year end,weekly,,subcommittee_regular,,
