"hid","doc_id","year","region","station","country","act","class"
"HID0001","NWPO1879",1879,"North-Western Provinces & Oudh","Allahabad","British India","Act XIV of 1868",NA
"HID0002","NWPO1879",1879,"North-Western Provinces & Oudh","Cawnpore","British India","Act XIV of 1868",NA
"HID0003","NWPO1879",1879,"North-Western Provinces & Oudh","Agra","British India","Act XIV of 1868",NA
"HID0004","NWPO1879",1879,"North-Western Provinces & Oudh","Meerut","British India","Act XIV of 1868",NA
"HID0005","NWPO1879",1879,"North-Western Provinces & Oudh","Lucknow","British India","Act XIV of 1868",NA
"HID0006","NWPO1879",1879,"North-Western Provinces & Oudh","Bareilly","British India","Act XIV of 1868",NA
"HID0007","NWPO1879",1879,"North-Western Provinces & Oudh","Fyzabad","British India","Act XIV of 1868",NA
"HID0008","NWPO1879",1879,"North-Western Provinces & Oudh","Benares","British India","Act XIV of 1868",NA
"HID0009","NWPO1879",1879,"North-Western Provinces & Oudh","Moradabad","British India","Act XIV of 1868",NA
"HID0010","NWPO1879",1879,"North-Western Provinces & Oudh","Ranikhet","British India","Act XIV of 1868",NA
"HID0011","NWPO1879",1879,"North-Western Provinces & Oudh","Sitapur","British India","Act XIV of 1868",NA
"HID0012","NWPO1879",1879,"North-Western Provinces & Oudh","Roorkee","British India","Act XIV of 1868",NA
"HID0013","CP1876",1876,"Central Provinces","Sitabaldi","British India","Act XIV of 1868","Second Class"
"HID0014","CP1876",1876,"Central Provinces","Kamptee","British India","Act XXII of 1864","First Class"
"HID0015","CP1876",1876,"Central Provinces","Saugor","British India","Act XIV of 1868",NA
"HID0016","CP1876",1876,"Central Provinces","Jubbulpore","British India","Act XIV of 1868",NA
"HID0017","NWPO1879",1879,"North-Western Provinces & Oudh","Shahjahanpur","British India","Act XIV of 1868",NA
"HID0018","NWPO1879",1879,"North-Western Provinces & Oudh","Naini Tal","British India","Act XIV of 1868",NA
"HID0019","NWPO1879",1879,"North-Western Provinces & Oudh","Jhansi","British India","Act XIV of 1868",NA
"HID0020","NWPO1879",1879,"North-Western Provinces & Oudh","Muttra","British India","Act XIV of 1868",NA
"HID0021","NWPO1879",1879,"North-Western Provinces & Oudh","Chakrata","British India","Act XIV of 1868",NA
"HID0022","NWPO1879",1879,"North-Western Provinces & Oudh","Fatehgarh","British India","Act XIV of 1868",NA
"HID0023","PB1887",1887,"Punjab","Delhi","British India","Act XXII of 1864","First Class"
"HID0024","PB1887",1887,"Punjab","Umballa","British India","Act XXII of 1864","First Class"
"HID0025","PB1887",1887,"Punjab","Dagshai","British India","Act XXII of 1864","Third Class"
"HID0026","PB1887",1887,"Punjab","Kasauli","British India","Act XXII of 1864","Third Class"
"HID0027","PB1887",1887,"Punjab","Jullundur","British India","Act III of 1880","Second Class"
"HID0028","PB1887",1887,"Punjab","Mooltan","British India","Act III of 1880","First Class"
"HID0029","PB1887",1887,"Punjab","Meean Meer","British India","Act III of 1880","Third Class"
"HID0030","PB1887",1887,"Punjab","Subathu","British India","Act XXII of 1864","Third Class"
"HID0031","PB1887",1887,"Punjab","Dalhousie","British India","Act XXII of 1864","Third Class"
"HID0032","PB1887",1887,"Punjab","Rawalpindi","British India","Act XXII of 1864","Second Class"
"HID0033","PB1887",1887,"Punjab","Ferozepore","British India","Act XXII of 1864","First Class"
"HID0034","PB1887",1887,"Punjab","Peshawar","British India","Act XXII of 1864","Second Class"
"HID0035","PB1887",1887,"Punjab","Sialkot","British India","Act XXII of 1864","Second Class"
"HID0036","PB1887",1887,"Punjab","Attock","British India","Act XII of 1864","Third Class"
"HID0037","PB1887",1887,"Punjab","Naushahra","British India","Act XXII of 1864","Second Class"
"HID0038","PB1887",1887,"Punjab","Murree","British India","Act XXII of 1864","Third Class"
"HID0039","PB1888",1888,"Punjab","Umballa","British India","Act XXII of 1864","First Class"
"HID0040","PB1888",1888,"Punjab","Kasauli","British India","Act XXII of 1864","Third Class"
"HID0041","PB1888",1888,"Punjab","Jullundur","British India","Act III of 1880","Second Class"
