"hid","doc_id","year","region","station","country","act","class","new_doc_id"
"HID0001","NWPO-1878",1879,"North-Western Provinces & Oudh","Allahabad","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0002","NWPO-1878",1879,"North-Western Provinces & Oudh","Cawnpore","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0003","NWPO-1878",1879,"North-Western Provinces & Oudh","Agra","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0004","NWPO-1878",1879,"North-Western Provinces & Oudh","Meerut","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0005","NWPO-1878",1879,"North-Western Provinces & Oudh","Lucknow","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0006","NWPO-1878",1879,"North-Western Provinces & Oudh","Bareilly","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0007","NWPO-1878",1879,"North-Western Provinces & Oudh","Fyzabad","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0008","NWPO-1878",1879,"North-Western Provinces & Oudh","Benares","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0009","NWPO-1878",1879,"North-Western Provinces & Oudh","Moradabad","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0010","NWPO-1878",1879,"North-Western Provinces & Oudh","Ranikhet","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0011","NWPO-1878",1879,"North-Western Provinces & Oudh","Sitapur","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0012","NWPO-1878",1879,"North-Western Provinces & Oudh","Roorkee","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0013","NLS-CP-1877",1876,"Central Provinces","Sitabaldi","British India","Act XIV of 1868","Second Class","CP1876"
"HID0014","NLS-CP-1878",1876,"Central Provinces","Kamptee","British India","Act XXII of 1864","First Class","CP1876"
"HID0015","NLS-CP-1879",1876,"Central Provinces","Saugor","British India","Act XIV of 1868",NA,"CP1876"
"HID0016","NLS-CP-1880",1876,"Central Provinces","Jubbulpore","British India","Act XIV of 1868",NA,"CP1876"
"HID0017","NWPO-1878",1879,"North-Western Provinces & Oudh","Shahjahanpur","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0018","NWPO-1878",1879,"North-Western Provinces & Oudh","Naini Tal","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0019","NWPO-1878",1879,"North-Western Provinces & Oudh","Jhansi","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0020","NWPO-1878",1879,"North-Western Provinces & Oudh","Muttra","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0021","NWPO-1878",1879,"North-Western Provinces & Oudh","Chakrata","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0022","NWPO-1878",1879,"North-Western Provinces & Oudh","Fatehgarh","British India","Act XIV of 1868",NA,"NWPO1879"
"HID0039","PB1887",1888,"Punjab","Umballa","British India","Act XXII of 1864","First Class","PB1888"
"HID0040","PB1887",1888,"Punjab","Kasauli","British India","Act XXII of 1864","Third Class","PB1888"
"HID0041","PB1887",1888,"Punjab","Jullundur","British India","Act III of 1880","Second Class","PB1888"
"HID0042","PB1887",1888,"Punjab","Mooltan","British India","Act III of 1880","First Class","PB1888"
"HID0043","PB1887",1888,"Punjab","Rawalpindi","British India","Act III of 1880","First Class","PB1888"
"HID0044","PB1887",1888,"Punjab","Sialkot","British India","Act III of 1880","First Class","PB1888"
"HID0045","PB1887",1888,"Punjab","Peshawar","British India","Act III of 1880","Second Class","PB1888"
"HID0046","PB1887",1888,"Punjab","Subathu","British India","Act XXII of 1864","Third Class","PB1888"
"HID0047","PB1887",1888,"Punjab","Dalhousie","British India","Act XIV of 1868","Third Class","PB1888"
"HID0048","PB1887",1888,"Punjab","Ferozepore","British India",NA,NA,"PB1888"
"HID0049","PB1887",1888,"Punjab","Attock","British India","Act XII of 1864","Third Class","PB1888"
"HID0050","PB1887",1888,"Punjab","Murree","British India","Act XIV of 1868","Third Class","PB1888"
"HID0051","PB1887",1889,"Punjab","Delhi","British India","Act XXII of 1864","First Class","PB1889"
"HID0052","PB1887",1889,"Punjab","Umballa","British India","Act III of 1880","First Class","PB1889"
"HID0053","PB1887",1889,"Punjab","Dagshai","British India","Act III of 1880","Second Class","PB1889"
"HID0054","PB1887",1889,"Punjab","Kasauli","British India","Act XXII of 1864","Third Class","PB1889"
"HID0055","PB1887",1889,"Punjab","Subathu","British India","Act XXII of 1864","Third Class","PB1889"
"HID0056","PB1887",1889,"Punjab","Jullundur","British India","Act III of 1880","Third Class","PB1889"
"HID0057","PB1887",1889,"Punjab","Ferozepore","British India","Act III of 1880","First Class","PB1889"
"HID0058","PB1887",1889,"Punjab","Meean Meer","British India","Act III of 1880","First Class","PB1889"
"HID0059","PB1887",1889,"Punjab","Mooltan","British India","Act III of 1880","First Class","PB1889"
"HID0060","PB1887",1889,"Punjab","Dalhousie","British India","Act III of 1880","Third Class","PB1889"
"HID0061","PB1887",1889,"Punjab","Sialkot","British India","Act III of 1880","First Class","PB1889"
"HID0062","PB1887",1889,"Punjab","Rawalpindi","British India","Act III of 1880","First Class","PB1889"
"HID0063","PB1887",1889,"Punjab","Attock","British India","Act XII of 1864","Third Class","PB1889"
"HID0064","PB1887",1889,"Punjab","Murree","British India","Act III of 1880","Third Class","PB1889"
"HID0065","PB1887",1889,"Punjab","Peshawar","British India","Act III of 1880","Second Class","PB1889"
"HID0066","PB1887",1889,"Punjab","Naushahra","British India","Act III of 1880","Second Class","PB1889"
"HID0067","PB1887",1890,"Punjab","Kasauli","British India",NA,NA,"PB1890"
"HID0068","PB1887",1890,"Punjab","Mooltan","British India","Act III of 1880",NA,"PB1890"
"HID0069","PB1887",1890,"Punjab","Attock","British India",NA,NA,"PB1890"
"HID0070","PB1887",1890,"Punjab","Subathu","British India",NA,NA,"PB1890"
"HID0071","PB1887",1890,"Punjab","Dalhousie","British India",NA,"Third Class","PB1890"
"HID0072","PB1887",1890,"Punjab","Umballa","British India","Voluntary System","Third Class","PB1890"
"HID0073","PB1887",1890,"Punjab","Dagshai","British India",NA,NA,"PB1890"
"HID0074","PB1887",1890,"Punjab","Jullundur","British India",NA,NA,"PB1890"
"HID0075","PB1887",1890,"Punjab","Ferozepore","British India",NA,NA,"PB1890"
