"station_id","name","region","country","latitude","longitude","notes"
1,"British India","North-Western Provinces and Oudh","British India",NA,NA,NA
3,"India (British Burma)","British Burma Division","British Burma",NA,NA,NA
8,"Jhansi","North-Western Provinces & Oudh","British India",NA,NA,NA
17,"Allahabad","North-Western Provinces & Oudh","British India",NA,NA,NA
20,"Prome","British Burma Division","British India",NA,NA,NA
41,"Cannanore","Madras Presidency","British India",NA,NA,NA
42,"Belgaum","Madras Presidency","British India",NA,NA,NA
62,"Jullundur","Punjab","British India",NA,NA,NA
65,"Roorkee","North-Western Provinces & Oudh","British India",NA,NA,NA
83,"Delhi","Punjab","British India",NA,NA,NA
91,"Ferozepore","Punjab","British India",NA,NA,NA
102,"Seetabuldee","Madras Presidency","British India",NA,NA,NA
104,"Naini Tal","North-Western Provinces & Oudh","British India",NA,NA,NA
105,"Bangalore","Madras Presidency","British India",NA,NA,NA
106,"Shahjahanpur","North-Western Provinces & Oudh","British India",NA,NA,NA
109,"Kamptee","Madras Presidency","British India",NA,NA,NA
111,"Meerut","North-Western Provinces & Oudh","British India",NA,NA,NA
121,"Bareilly","North-Western Provinces & Oudh","British India",NA,NA,NA
122,"Henzada","British Burma Division","British India",NA,NA,NA
135,"Tonghoo","British Burma Division","British Burma",NA,NA,NA
137,"Chakrata","North-Western Provinces & Oudh","British India",NA,NA,NA
138,"Fyzabad","North-Western Provinces & Oudh","British India",NA,NA,NA
141,"Muttra","North-Western Provinces & Oudh","British India",NA,NA,NA
151,"Fatehgarh","North-Western Provinces & Oudh","British India",NA,NA,NA
153,"Nowshera","Punjab","British India",NA,NA,NA
157,"Cawnpore","North-Western Provinces & Oudh","British India",NA,NA,NA
162,"Jubbulpore","Central Provinces","British India",NA,NA,NA
165,"Rangoon","British Burma Division","British Burma",NA,NA,NA
170,"Thayetmyo","British Burma Division","British India",NA,NA,NA
174,"Madras","Madras Presidency (Civil)","British India",NA,NA,NA
178,"Mooltan","Punjab","British India",NA,NA,NA
183,"Benares","North-Western Provinces & Oudh","British India",NA,NA,NA
189,"Lucknow","North-Western Provinces & Oudh","British India",NA,NA,NA
190,"Moradabad","North-Western Provinces & Oudh","British India",NA,NA,NA
195,"Dalhousie","Punjab","British India",NA,NA,NA
201,"St. Thomas' Mount","Madras Presidency","British India",NA,NA,NA
204,"Rawalpindi","Punjab","British India",NA,NA,NA
208,"Umballa","Punjab","British India",NA,NA,NA
210,"Kasauli","Punjab","British India",NA,NA,NA
223,"St. Thomas’ Mount","Madras Presidency","British India",NA,NA,NA
229,"Attock","Punjab","British India",NA,NA,NA
249,"Subathu","Punjab","British India",NA,NA,NA
257,"Agra","North-Western Provinces & Oudh","British India",NA,NA,NA
264,"Naushahra","Punjab","British India",NA,NA,NA
265,"Secunderabad","Madras Presidency","British India",NA,NA,NA
280,"Bassein","British Burma Division","British India",NA,NA,NA
300,"Dagshai","Punjab","British India",NA,NA,NA
313,"Meean Meer","Punjab","British India",NA,NA,NA
323,"Moulmein","British Burma Division","British India",NA,NA,NA
324,"Trichinopoly","Madras Presidency","British India",NA,NA,NA
335,"Murree","Punjab","British India",NA,NA,NA
350,"Toungoo","British Burma Division","British India",NA,NA,NA
361,"India (British Burma)+G143","British Burma Division","British Burma",NA,NA,NA
362,"Wellington","Madras Presidency","British India",NA,NA,NA
367,"Bellary","Madras Presidency","British India",NA,NA,NA
375,"Sitapur","North-Western Provinces & Oudh","British India",NA,NA,NA
399,"Akyab","British Burma Division","British India",NA,NA,NA
405,"Sialkot","Punjab","British India",NA,NA,NA
418,"Ranikhet","North-Western Provinces & Oudh","British India",NA,NA,NA
419,"Sitabaldi","Central Provinces","British India",NA,NA,NA
426,"Peshawar","Punjab","British India",NA,NA,NA
429,"Saugor","Central Provinces","British India",NA,NA,NA
