"unique_id","doc_id","source_name","source_type","region","station","country","year","Regiments","avg_strength","primary_syphilis","secondary_syphilis","gonorrhoea","orchitis_gonorrhoea","phimosis","warts","total_admissions","contracted_elsewhere","contracted_at_station","ratio_per_1000","period_of_occupation","link","new_doc_id"
"TA-0001","NLS-CP1878","Annual report of the working of the lock-hospitals in the  Cental Provinces","Colonial Medical Annual Lock Hospital Report","Central Provinces","Kamptee","British India",1876,"H.M.’s 33rd Regiment",NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Whole year","https://digital.nls.uk/","CP1876"
"TA-0001","NLS-CP1878","Annual report of the working of the lock-hospitals in the  Cental Provinces","Colonial Medical Annual Lock Hospital Report","Central Provinces","Sitabaldi (Nagpur)","British India",1877,"Detachment of H.M.’s 33rd Regiment",48.23,3,2,7,NA,NA,NA,12,7,5,"248.8","Whole year","https://digital.nls.uk/","CP1877"
"TA-0002","NLS-CP1878","Annual report of the working of the lock-hospitals in the  Cental Provinces","Colonial Medical Annual Lock Hospital Report","Central Provinces","Kamptee","British India",1876,"20th Brigade Royal Artillery",669,43,4,93,4,1,0,145,0,145,"216.7","Whole year","https://digital.nls.uk/","CP1876"
"TA-0003","NLS-CP1878","Annual report of the working of the lock-hospitals in the  Cental Provinces","Colonial Medical Annual Lock Hospital Report","Central Provinces","Kamptee","British India",1877,"E. & G. Batteries",266,13,14,57,4,5,0,93,1,92,"349.6","Whole year","https://digital.nls.uk/","CP1877"
"TA-0004","NLS-CP1878","Annual report of the working of the lock-hospitals in the  Cental Provinces","Colonial Medical Annual Lock Hospital Report","Central Provinces","Saugor","British India",1876,"F-11 Royal Artillery",150,3,0,28,NA,NA,NA,31,NA,NA,NA,"Whole year","https://digital.nls.uk/","CP1876"
"TA-0005","NLS-CP1878","Annual report of the working of the lock-hospitals in the  Cental Provinces","Colonial Medical Annual Lock Hospital Report","Central Provinces","Saugor","British India",1877,"Detachment 1-XI Regiment",209,5,2,16,NA,NA,NA,23,NA,NA,NA,"Whole year","https://digital.nls.uk/","CP1877"
"TA-0006","NWPO-1878","Fifth annual report of the working of the lock-hospitals in the North-Western Provinces and Oudh","Colonial Medical Annual Lock Hospital Report","North-Western Provinces & Oudh","Allahabad","British India",1874,NA,NA,NA,NA,NA,NA,NA,NA,290,NA,NA,NA,"Whole year","https://digital.nls.uk/","NWPO1874"
"TA-0007","NWPO-1878","Fifth annual report of the working of the lock-hospitals in the North-Western Provinces and Oudh","Colonial Medical Annual Lock Hospital Report","North-Western Provinces & Oudh","Allahabad","British India",1875,NA,NA,NA,NA,NA,NA,NA,NA,244,NA,NA,NA,"Whole year","https://digital.nls.uk/","NWPO1875"
"TA-0008","NWPO-1878","Fifth annual report of the working of the lock-hospitals in the North-Western Provinces and Oudh","Colonial Medical Annual Lock Hospital Report","North-Western Provinces & Oudh","Allahabad","British India",1876,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,"Whole year","https://digital.nls.uk/","NWPO1876"
"TA-0009","NWPO-1878","Fifth annual report of the working of the lock-hospitals in the North-Western Provinces and Oudh","Colonial Medical Annual Lock Hospital Report","North-Western Provinces & Oudh","Allahabad","British India",1877,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,"Whole year","https://digital.nls.uk/","NWPO1877"
